name,family,gen,para no B,Sum of LLM_ANSWER_SCORE,Sum of LLM_FAISS_ANSWER_SCORE,Sum of LLM_FULLWIKI_ANSWER_SCORE,Sum of LLM_CONTEXDS_ANWER_SCORE,Q1,Q2,Q2,Q4,LLM Q1 score,LLM Q2 score,LLM Q3 score,LLM Q4 score,LLM faiss Q1 score,LLM faiss Q2 score,LLM faiss Q3 score,LLM faiss Q4 score,LLM wiki Q1 score,LLM wiki Q2 score,LLM wiki Q3 score,LLM wiki Q4 score,LLM cont Q1 score,LLM cont Q2 score,LLM cont Q3 score,LLM cont Q4 score,Accuracy LLM (weighted),Accuracy FAISS (weighted),Accuracy Wiki (weighted),Accuracy Conext (weighted),Weighted Accuracy LLM (Makro),Accuracy FAISS (Makro),Accuracy Wiki (Makro),Accuracy Conext (Makro),Source para,source 2,para,para B,tensor,Tensor size/data types in bits,Tensor size/data types in bytes,release,Memory demand [bilion bytes],Memory demand [GiB],AWS instance,AWS instance qty,instance cost AWS us east /hour,instance cost AWS us east /24hour
Qwen3 0.6B,Qwen,3,0.6,290,404,439,500,206,251,246,197,58,96,45,91,88,119,110,87,92,131,128,88,107,164,123,196,0.322222222,0.448888889,0.487777778,0.655555556,0.32721982,0.447516722,0.483885001,0.666931947,https://huggingface.co/Qwen/Qwen3-0.6B,https://arxiv.org/abs/2505.09388,0.752B,0.752,BF16,16,2,45791,1.504,1.504,ml.g6.xlarge,1,0.8048,19.3152
Gemma 3 1B Instruct,Gemma,3,1,313,351,367,470,206,251,246,197,96,83,89,45,94,84,137,36,107,93,134,33,126,145,147,52,0.347777778,0.39,0.407777778,0.522222222,0.346727931,0.38265593,0.400540885,0.512715024,https://huggingface.co/google/gemma-3-1b-it,https://console.cloud.google.com/vertex-ai/publishers/google/model-garden/gemma3?pli=1,1B,1,BF16,16,2,45728,2,2,ml.g6.xlarge,1,0.8048,19.3152
meta-llama-3-2-1b-instruct-203026,Llama,3.2,1,285,320,342,349,206,251,246,197,116,21,21,127,150,74,92,4,123,88,121,10,170,53,111,15,0.316666667,0.355555556,0.38,0.387777778,0.34420201,0.354316091,0.372579082,0.390939935,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,,1.24B,1.24,BF16,16,2,45536,2.48,2.48,ml.g6.xlarge,1,0.8048,19.3152
Falcon3-1B-Instruct,Falcon,3,1,300,413,437,508,206,251,246,197,83,72,89,56,123,101,136,53,123,111,134,69,149,143,130,86,0.333333333,0.458888889,0.485555556,0.564444444,0.333954447,0.45533972,0.483571927,0.564506399,https://huggingface.co/tiiuae/Falcon3-1B-Instruct,,1.67B,1.67,BF16,16,2,45627,3.34,3.34,ml.g6.xlarge,1,0.8048,19.3152
gemma-2-2b-instruct-140012,Gemma,2,2,278,465,505,614,206,251,246,197,39,63,101,75,100,115,138,112,89,128,149,139,104,169,180,161,0.308888889,0.516666667,0.561111111,0.682222222,0.307899042,0.518276938,0.563318452,0.681781836,https://huggingface.co/google/gemma-2-2b-it,https://console.cloud.google.com/vertex-ai/publishers/google/model-garden/gemma2?pli=1,2.61B,2.61,BF16,16,2,45504,5.22,5.22,ml.g6.xlarge,1,0.8048,19.3152
meta-llama-3-2-3b-instruct-211224,Llama,3.2,3,388,485,535,654,206,251,246,197,90,135,101,62,109,178,137,61,116,173,170,76,144,200,189,121,0.431111111,0.538888889,0.594444444,0.726666667,0.425007932,0.5262112,0.582298384,0.719586939,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct,,3.21B,3.21,BF16,16,2,45536,6.42,6.42,ml.g6.xlarge,1,0.8048,19.3152
huggingface-llm-falcon-3-3B-Instruct,Falcon,3,3,374,485,538,668,206,251,246,197,84,81,101,108,96,111,136,142,117,126,141,154,150,177,172,169,0.415555556,0.538888889,0.597777778,0.742222222,0.422317152,0.545477051,0.606212454,0.747597409,https://huggingface.co/tiiuae/Falcon3-3B-Instruct,,3.23B,3.23,BF16,16,2,45627,6.46,6.46,ml.g5.2xlarge,1,1.212,29.088
Qwen3 4B,Qwen,3,4,457,635,665,805,206,251,246,197,92,107,135,123,154,166,164,151,160,176,171,158,185,224,216,180,0.507777778,0.705555556,0.738888889,0.894444444,0.511510683,0.710522881,0.743761664,0.895560724,https://huggingface.co/Qwen/Qwen3-4B,https://arxiv.org/abs/2505.09389,4.02B,4.02,BF16,16,2,45792,8.04,8.04,ml.g5.2xlarge,1,1.212,29.088
Gemma 3 4B Instruct,Gemma,3,4,392,561,620,779,206,251,246,197,91,115,107,79,143,149,164,105,147,171,175,127,181,221,209,168,0.435555556,0.623333333,0.688888889,0.865555556,0.43397237,0.621865461,0.687729824,0.86537606,https://huggingface.co/google/gemma-3-4b-it,https://console.cloud.google.com/vertex-ai/publishers/google/model-garden/gemma3?pli=1,4.3B,4.3,BF16,16,2,45728,8.6,8.6,ml.g5.2xlarge,1,1.212,29.088
Mistral 7B Instruct,Mistral,0,7,357,537,573,659,206,251,246,197,100,77,105,75,152,151,155,79,150,162,157,104,172,190,181,116,0.396666667,0.596666667,0.636666667,0.732222222,0.399937432,0.592638558,0.634925958,0.729132103,https://mistral.ai/news/announcing-mistral-7b,https://huggingface.co/mistralai/Mistral-7B-v0.1,7.24B,7.24,BF16,16,2,45200,14.48,14.48,ml.g5.2xlarge,1,1.212,29.088
